(unsloth_env) hsbcpoc@e87wgt814tvcff7:~/ft/deepseek-r1-distill-training$ python sft.py 
🦥 Unsloth: Will patch your computer to enable 2x faster free finetuning.
🦥 Unsloth Zoo will now patch everything to make training faster!
==((====))==  Unsloth 2025.2.4: Fast Qwen2 patching. Transformers: 4.48.3.
   \\   /|    GPU: NVIDIA L20. Max memory: 44.403 GB. Platform: Linux.
O^O/ \_/ \    Torch: 2.5.1. CUDA: 8.9. CUDA Toolkit: 12.1. Triton: 3.1.0
\        /    Bfloat16 = TRUE. FA [Xformers = 0.0.28.post3. FA2 = False]
 "-____-"     Free Apache license: http://github.com/unslothai/unsloth
Unsloth: Fast downloading is enabled - ignore downloading bars which are red colored!
Loading checkpoint shards: 100%|██████████████████| 2/2 [00:01<00:00,  1.57it/s]
Unsloth 2025.2.4 patched 28 layers with 28 QKV layers, 28 O layers and 28 MLP layers.
==((====))==  Unsloth - 2x faster free finetuning | Num GPUs = 1
   \\   /|    Num examples = 3,043 | Num Epochs = 1
O^O/ \_/ \    Batch size per device = 2 | Gradient Accumulation steps = 4
\        /    Total batch size = 8 | Total steps = 60
 "-____-"     Number of trainable parameters = 40,370,176
{'loss': 1.3004, 'grad_norm': 0.1904621422290802, 'learning_rate': 4.7272727272727275e-05, 'epoch': 0.12}
{'loss': 1.4055, 'grad_norm': 0.19262157380580902, 'learning_rate': 4.3636363636363636e-05, 'epoch': 0.13}
{'loss': 1.3652, 'grad_norm': 0.1831241250038147, 'learning_rate': 4e-05, 'epoch': 0.13}
{'loss': 1.3363, 'grad_norm': 0.18599732220172882, 'learning_rate': 3.6363636363636364e-05, 'epoch': 0.13}
{'loss': 1.349, 'grad_norm': 0.1855769157409668, 'learning_rate': 3.272727272727273e-05, 'epoch': 0.13}
{'loss': 1.413, 'grad_norm': 0.22545786201953888, 'learning_rate': 2.909090909090909e-05, 'epoch': 0.14}
{'loss': 1.3536, 'grad_norm': 0.1832629293203354, 'learning_rate': 2.5454545454545454e-05, 'epoch': 0.14}
{'loss': 1.4618, 'grad_norm': 0.195356547832489, 'learning_rate': 2.1818181818181818e-05, 'epoch': 0.14}
{'loss': 1.3163, 'grad_norm': 0.16851916909217834, 'learning_rate': 1.8181818181818182e-05, 'epoch': 0.14}
{'loss': 1.3231, 'grad_norm': 0.16037875413894653, 'learning_rate': 1.4545454545454545e-05, 'epoch': 0.15}
{'loss': 1.2541, 'grad_norm': 0.17700888216495514, 'learning_rate': 1.0909090909090909e-05, 'epoch': 0.15}
{'loss': 1.3119, 'grad_norm': 0.19337235391139984, 'learning_rate': 7.272727272727272e-06, 'epoch': 0.15}
{'loss': 1.33, 'grad_norm': 0.18229030072689056, 'learning_rate': 3.636363636363636e-06, 'epoch': 0.16}
{'loss': 1.3151, 'grad_norm': 0.17358790338039398, 'learning_rate': 0.0, 'epoch': 0.16}
{'train_runtime': 513.3654, 'train_samples_per_second': 0.935, 'train_steps_per_second': 0.117, 'train_loss': 1.6965651909510295, 'epoch': 0.16}
100%|███████████████████████████████████████████| 60/60 [08:33<00:00,  8.56s/it]
程序运行时间：523.8106627464294 秒
